iter	Passed	Remaining
1621	94288	138235
1622	94338	138165
1623	94389	138097
1624	94442	138031
1625	94497	137968
1626	94549	137901
1627	94601	137834
1628	94662	137781
1629	94715	137714
1630	94778	137664
1631	94828	137594
1632	94891	137543
1633	94948	137484
1634	95006	137426
1635	95063	137365
1636	95121	137307
1637	95181	137251
1638	95239	137193
1639	95296	137133
1640	95361	137085
1641	95420	137029
1642	95488	136984
1643	95549	136931
1644	95602	136866
1645	95650	136793
1646	95716	136746
1647	95773	136686
1648	95832	136629
1649	95882	136559
1650	95939	136499
1651	95997	136442
1652	96055	136384
1653	96110	136321
1654	96158	136248
1655	96207	136178
1656	96264	136118
1657	96315	136050
1658	96371	135989
